title,release_year,duration_min,primary_genre,imdb_score,num_voted_users
Total Recall,1990,114.0,Action & Adventure,7.5,240241
Total Recall,1990,114.0,Action & Adventure,7.5,240241
The Nut Job,2014,85.0,Children & Family Movies,5.8,19547
Underdogs,2013,85.0,Children & Family Movies,6.7,6920
Madagascar: Escape 2 Africa,2008,91.0,Children & Family Movies,6.7,146019
What a Girl Wants,2003,105.0,Children & Family Movies,5.8,48095
The Artist,2011,101.0,Comedies,8.0,190030
"Hail, Caesar!",2016,106.0,Comedies,6.4,60926
The Last Airbender,2010,104.0,Action & Adventure,4.2,118951
Kabhi Alvida Naa Kehna,2006,192.0,Dramas,6.0,13998
The Runaways,2010,107.0,Dramas,6.6,39260
Hugo,2011,127.0,Children & Family Movies,7.5,245333
There Will Be Blood,2007,158.0,Dramas,8.1,372990
The Visit,2015,138.0,Dramas,6.2,65299
By the Sea,2015,122.0,Dramas,5.3,7976
The Forest,2016,93.0,Horror Movies,4.8,20837
Hop,2011,95.0,Children & Family Movies,5.5,24089
Legend,2015,132.0,Dramas,7.0,87682
Steve Jobs,2015,122.0,Dramas,7.2,93548
Jimmy Neutron: Boy Genius,2001,83.0,Children & Family Movies,6.0,23943
Pan's Labyrinth,2006,119.0,Dramas,8.2,467234
The Green Inferno,2013,101.0,Horror Movies,5.4,21468
A Single Man,2009,100.0,Dramas,7.6,83182
Sinister 2,2015,97.0,Horror Movies,5.2,25210
Rugrats in Paris: The Movie,2000,79.0,Children & Family Movies,6.1,8146
The Rugrats Movie,1998,81.0,Children & Family Movies,5.9,14005
The Squid and the Whale,2005,81.0,Comedies,7.4,60295
The Grandmaster,2013,108.0,Action & Adventure,6.5,24557
Olympus Has Fallen,2013,119.0,Action & Adventure,6.5,203154
About Time,2013,123.0,Comedies,7.8,202341
The Spiderwick Chronicles,2008,97.0,Children & Family Movies,6.6,68935
Monty Python and the Holy Grail,1975,92.0,Action & Adventure,8.3,382240
Kill the Messenger,2014,112.0,Dramas,7.0,32382
The Theory of Everything,2014,123.0,Dramas,7.7,265507
Big Miracle,2012,107.0,Children & Family Movies,6.5,15231
Fiza,2000,163.0,Dramas,6.2,2715
Rang De Basanti,2006,159.0,Dramas,8.4,70233
Namastey London,2007,130.0,Comedies,7.3,13577
The Hateful Eight,2015,168.0,Action & Adventure,7.9,272839
Demonic,2015,83.0,Horror Movies,5.3,7358
Howards End,1992,143.0,Classic Movies,7.5,21254
Bee Movie,2007,92.0,Children & Family Movies,6.2,105902
Ip Man 3,2015,105.0,Action & Adventure,7.2,21912
The Ridiculous 6,2015,120.0,Action & Adventure,4.9,27019
Circle,2015,86.0,Dramas,6.0,13279
The Square,2013,105.0,Documentaries,8.1,6678
9,2009,80.0,Action & Adventure,7.1,111117
21,2008,123.0,Dramas,6.8,191470
Æon Flux,2005,93.0,Action & Adventure,5.5,110614
16 Blocks,2006,102.0,Action & Adventure,6.6,112769
17 Again,2009,102.0,Comedies,6.4,146899
20 Feet From Stardom,2013,91.0,Documentaries,7.4,9540
21 & Over,2013,93.0,Comedies,5.9,60407
28 Days,2000,104.0,Comedies,6.0,34597
30 Minutes or Less,2011,83.0,Action & Adventure,6.1,77935
50 First Dates,2004,99.0,Comedies,6.8,266103
50/50,2011,100.0,Comedies,7.7,270441
A Bridge Too Far,1977,176.0,Action & Adventure,7.4,40277
A Haunted House,2013,86.0,Comedies,5.1,34620
A Most Violent Year,2014,125.0,Dramas,7.0,45799
A Night at the Roxbury,1998,82.0,Comedies,6.2,48458
A Separation,2011,123.0,Dramas,8.4,151812
A Serious Man,2009,106.0,Comedies,7.0,102125
A Thousand Words,2012,92.0,Comedies,5.9,30842
A Walk to Remember,2002,102.0,Dramas,7.4,162701
About a Boy,2002,101.0,Comedies,7.1,144021
Across the Universe,2007,133.0,Dramas,7.4,91860
Across the Universe,2007,133.0,Dramas,7.4,91863
Act of Valor,2012,110.0,Action & Adventure,6.5,57996
Adore,2013,111.0,Dramas,6.2,23334
All the Boys Love Mandy Lane,2006,91.0,Horror Movies,5.6,25951
Along Came a Spider,2001,103.0,Thrillers,6.3,59232
American Beauty,1999,122.0,Dramas,8.4,822500
American Heist,2014,95.0,Action & Adventure,5.2,12372
American History X,1998,119.0,Dramas,8.6,782437
American Psycho,2000,102.0,Comedies,7.6,357275
Angel Eyes,2001,103.0,Dramas,5.6,19686
Apollo 18,2011,87.0,Horror Movies,5.2,47227
Arthur Christmas,2011,98.0,Children & Family Movies,7.1,35446
"As Above, So Below",2014,93.0,Horror Movies,6.1,49948
As Good as It Gets,1997,139.0,Comedies,7.7,224671
Automata,2014,110.0,International Movies,6.1,41638
Babel,2006,143.0,Dramas,7.5,243799
Bad Boys,1995,119.0,Action & Adventure,6.8,172405
Bad Boys II,2003,147.0,Action & Adventure,6.6,178126
Beavis and Butt-head Do America,1996,81.0,Comedies,6.8,42892
Becoming Jane,2007,121.0,Dramas,7.1,46204
Bedtime Stories,2008,100.0,Children & Family Movies,6.1,72326
Big Daddy,1999,93.0,Comedies,6.4,161858
Big Fat Liar,2002,88.0,Children & Family Movies,5.4,29008
Big Fat Liar,2002,88.0,Children & Family Movies,5.4,29008
Billy Elliot,2000,110.0,Dramas,7.7,98354
Black Hawk Down,2001,144.0,Action & Adventure,7.7,292022
Blow,2001,123.0,Dramas,7.6,198066
Blue Jasmine,2013,98.0,Comedies,7.3,150082
Blue Ruin,2013,90.0,Independent Movies,7.1,42678
Blue Streak,1999,94.0,Action & Adventure,6.3,60572
Blue Valentine,2010,112.0,Dramas,7.4,141425
Bolt,2008,99.0,Children & Family Movies,6.9,146766
Brooklyn's Finest,2009,133.0,Dramas,6.7,52852
Burlesque,2010,119.0,Dramas,6.4,61680
Cabin Fever,2016,98.0,Horror Movies,3.7,3313
Can't Hardly Wait,1998,101.0,Comedies,6.5,37885
Carriers,2009,85.0,Horror Movies,6.0,35510
Casa de mi Padre,2012,84.0,Comedies,5.5,17169
Casino Royale,2006,145.0,Action & Adventure,8.0,470483
Casino Royale,2006,145.0,Action & Adventure,8.0,470501
Cat on a Hot Tin Roof,1958,108.0,Classic Movies,8.1,33741
Cats & Dogs: The Revenge of Kitty Galore,2010,82.0,Children & Family Movies,4.3,10233
Center Stage,2000,116.0,Dramas,6.7,15817
Charlie and the Chocolate Factory,2005,115.0,Children & Family Movies,6.7,320284
Charlie's Angels: Full Throttle,2003,106.0,Action & Adventure,4.8,100821
Chasing Amy,1997,113.0,Comedies,7.3,114070
Chernobyl Diaries,2012,88.0,Horror Movies,5.0,52642
Chicken Little,2005,82.0,Children & Family Movies,5.8,63912
Child's Play,1988,87.0,Cult Movies,6.5,62038
Chloe,2009,96.0,Independent Movies,6.3,56264
Christmas with the Kranks,2004,99.0,Children & Family Movies,5.2,27548
Cirque du Freak: The Vampire's Assistant,2009,109.0,Action & Adventure,5.9,35990
City of God,2002,130.0,Dramas,8.7,533200
Clash of the Titans,2010,106.0,Action & Adventure,5.8,229679
Clash of the Titans,2010,106.0,Action & Adventure,5.8,229687
Click,2006,108.0,Comedies,6.4,246492
Cloud Atlas,2012,172.0,Action & Adventure,7.5,284825
Cloverfield,2008,85.0,Action & Adventure,7.0,296787
Coach Carter,2005,137.0,Dramas,7.2,92702
Code Name: The Cleaner,2007,91.0,Action & Adventure,4.5,9785
Coraline,2009,101.0,Children & Family Movies,7.7,143121
Crash,2004,112.0,Dramas,7.9,361169
Crash,2004,112.0,Dramas,7.9,361169
"Crouching Tiger, Hidden Dragon",2000,120.0,Action & Adventure,7.9,217740
Daddy Day Care,2003,93.0,Children & Family Movies,5.5,49486
Dallas Buyers Club,2013,117.0,Dramas,8.0,326494
Dante's Peak,1997,108.0,Action & Adventure,5.8,62271
Die Another Day,2002,133.0,Action & Adventure,6.1,169914
Dinner for Schmucks,2010,115.0,Comedies,5.9,80338
District 9,2009,112.0,Action & Adventure,8.0,531737
Doctor Zhivago,1965,200.0,Classic Movies,8.0,55816
Dolphin Tale 2,2014,107.0,Children & Family Movies,6.4,6069
Don't Be Afraid of the Dark,2010,99.0,Horror Movies,5.6,40776
Donnie Brasco,1997,127.0,Dramas,7.8,225122
Doom,2005,105.0,Action & Adventure,5.2,88146
Doubt,2008,104.0,Dramas,7.5,99236
Dragonheart,1996,103.0,Action & Adventure,6.4,78343
